task_inputs-model,task_inputs-execution_type,task_inputs-GPU,task_inputs-n_gpus,task_inputs-precision,request_throughput-unit,request_throughput-avg,request_latency-unit,request_latency-avg,request_latency-p95,time_to_first_token-unit,time_to_first_token-avg,time_to_first_token-p95,inter_token_latency-unit,inter_token_latency-avg,inter_token_latency-p95,output_token_throughput-unit,output_token_throughput-avg,output_token_throughput_per_request-unit,output_token_throughput_per_request-avg,output_token_throughput_per_request-p95,num_output_token-unit,num_output_token-avg,num_output_token-p95,num_input_token-unit,num_input_token-avg,num_input_token-p95,input_config-model,input_config-backend,input_config-extra_inputs-max_tokens,input_config-stability_percentage,input_config-concurrency,input_config-synthetic_input_tokens_mean,input_config-synthetic_input_tokens_stddev,input_config-output_tokens_mean
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.9370921100924274,ns,150382631059.40826,216700632710.8,ns,29563593985.786777,95001196354.0,ns,120936128.53125806,94479398.14999999,tokens/sec,937.0921100924274,tokens/sec,6.949439535187264,7.702438203993208,tokens,1000.0,1000.0,tokens,6999.659504132232,7000.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,150,7000,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.38649400945817836,ns,12935541758.4875,12944617089.55,ns,1234821777.3125,1467635491.8,ns,11712432.904484821,11803614.0,tokens/sec,386.49400945817837,tokens/sec,77.30640868306075,77.34261710739649,tokens,1000.0,1000.0,tokens,6999.6875,7000.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,5,7000,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.5565019447724259,ns,17955082844.825,17961914967.1,ns,1926626230.54,2641555681.25,ns,16044581.93819516,15614157.0,tokens/sec,556.5019447724259,tokens/sec,55.69462486345898,55.73724551789365,tokens,1000.0,1000.0,tokens,6999.66,7000.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,10,7000,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.9257498609471454,ns,105529673377.62833,122325118147.8,ns,4532481610.295,21467487101.2,ns,101099163.05732523,79156127.9,tokens/sec,925.7421463649708,tokens/sec,9.50137362395263,9.672510258551101,tokens,999.9916666666667,1000.0,tokens,6999.66,7000.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,100,7000,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.7914498204707328,ns,31323521589.70909,32455118103.8,ns,2328528283.316364,3811473445.6,ns,29024766.663034655,24956320.0,tokens/sec,791.4498204707328,tokens/sec,31.942973947324433,32.12882015412514,tokens,1000.0,1000.0,tokens,6999.665454545455,7000.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,25,7000,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.9369658031097693,ns,192345264589.719,256820768591.8,ns,71494972128.72066,135886075733.4,ns,120969538.36314015,95717392.3,tokens/sec,936.9658031097692,tokens/sec,5.550199302800192,7.701308921988901,tokens,1000.0,1000.0,tokens,6999.657851239669,7000.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,200,7000,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,2.216884722084546,ns,2255124456.9726315,2263814172.4,ns,304529448.36,396775422.0,ns,9801984.967902672,9639569.2,tokens/sec,443.3769444169091,tokens/sec,88.69057240492448,88.89297207132088,tokens,200.0,200.0,tokens,1999.6631578947367,2000.0,meta-llama3-8b-instruct,tensorrtllm,200,999,5,2000,0,200
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,6.731510359522286,ns,7391495742.873706,7379143681.6,ns,2031324029.221532,2441259118.2,ns,26935536.24950841,18733916.0,tokens/sec,1346.3020719044573,tokens/sec,27.067538525311637,27.165669724390238,tokens,200.0,200.0,tokens,1999.6583850931677,2000.0,meta-llama3-8b-instruct,tensorrtllm,200,999,50,2000,0,200
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,1.0110248135434268,ns,1977971745.4311926,1978892450.4,ns,132134689.03669725,171844908.3,ns,9275563.097459776,9264785.0,tokens/sec,202.20496270868534,tokens/sec,101.11403297178279,101.20038776736163,tokens,200.0,200.0,tokens,1999.6238532110092,2000.0,meta-llama3-8b-instruct,tensorrtllm,200,999,2,2000,0,200
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.5367713996137975,ns,1862809387.5652175,1863745416.9,ns,89315955.50434783,90297817.3,ns,8912027.29678829,9066484.0,tokens/sec,107.3542799227595,tokens/sec,107.36502063942807,107.44782058593884,tokens,200.0,200.0,tokens,1999.6173913043478,2000.0,meta-llama3-8b-instruct,tensorrtllm,200,999,1,2000,0,200
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,7.69135786582939,ns,31468839168.14667,39266950270.8,ns,3279008693.850158,10946151249.2,ns,141657439.56932923,1247651728.5,tokens/sec,1538.2715731658782,tokens/sec,6.411526800453733,7.613358470042461,tokens,200.0,200.0,tokens,1999.6564056133998,2000.0,meta-llama3-8b-instruct,tensorrtllm,200,999,250,2000,0,200
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,7.609338852548817,ns,19364467769.822857,20389667528.25,ns,2624587209.3442855,3730268324.55,ns,84120002.81647523,43870944.649999976,tokens/sec,1521.8677705097632,tokens/sec,10.381280667640388,11.075871875549002,tokens,200.0,200.0,tokens,1999.66,2000.0,meta-llama3-8b-instruct,tensorrtllm,200,999,150,2000,0,200
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,2.2172702558929034,ns,2254710645.9642105,2256491178.2,ns,336742301.87789476,398537208.9,ns,9638031.879830733,9651259.0,tokens/sec,443.4540511785807,tokens/sec,88.7034998621095,88.7976496553025,tokens,200.0,200.0,tokens,1999.6631578947367,2000.0,meta-llama3-8b-instruct,tensorrtllm,200,999,5,2000,0,200
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,3.5271665591449817,ns,2834537029.292105,2836884643.75,ns,704855520.5934211,774284563.5,ns,10701917.129139116,10756388.45,tokens/sec,705.4333118289964,tokens/sec,70.55842175217673,70.62898550662779,tokens,200.0,200.0,tokens,1999.657894736842,2000.0,meta-llama3-8b-instruct,tensorrtllm,200,999,10,2000,0,200
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,7.304289502740525,ns,13534491504.917025,13444198876.6,ns,2348408072.026228,2597857449.2,ns,56211474.537139684,31047937.0,tokens/sec,1460.857900548105,tokens/sec,14.800618054020946,14.903850379662579,tokens,200.0,200.0,tokens,1999.660467334287,2000.0,meta-llama3-8b-instruct,tensorrtllm,200,999,100,2000,0,200
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,5.57119292931164,ns,4485322895.098333,4488396155.25,ns,1421119140.8358333,1828960110.7,ns,15398008.815389447,13507268.05,tokens/sec,1114.238585862328,tokens/sec,44.59004277709058,44.63010247128546,tokens,200.0,200.0,tokens,1999.66,2000.0,meta-llama3-8b-instruct,tensorrtllm,200,999,25,2000,0,200
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,7.552013796383188,ns,25730456723.64092,29860226180.3,ns,2891427105.6813793,7204605288.1,ns,114768993.05507307,1088661769.0,tokens/sec,1510.4027592766377,tokens/sec,7.812543305512498,8.128817913556205,tokens,200.0,200.0,tokens,1999.6593103448276,2000.0,meta-llama3-8b-instruct,tensorrtllm,200,999,200,2000,0,200
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,2.8377100723753195,ns,1761590827.0213115,1762261453.0,ns,37170064.37704918,44398746.8,ns,8665430.96806162,8828276.55,tokens/sec,567.542014475064,tokens/sec,113.53629044660154,113.66990347467612,tokens,200.0,200.0,tokens,199.65737704918033,200.0,meta-llama3-8b-instruct,tensorrtllm,200,999,5,200,0,200
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,18.797156627944698,ns,2654706207.2424693,2668844545.85,ns,211675211.05481482,395152045.5,ns,12276537.669284696,12016771.449999997,tokens/sec,3759.431325588939,tokens/sec,75.34095129309812,75.68385682571504,tokens,200.0,200.0,tokens,199.659012345679,200.0,meta-llama3-8b-instruct,tensorrtllm,200,999,50,200,0,200
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,1.1797043923254766,ns,1695135015.570866,1695943794.05,ns,32425575.07086614,38296856.75,ns,8355323.8216080405,8469355.0,tokens/sec,235.94087846509532,tokens/sec,117.98503173116418,118.07148474307411,tokens,200.0,200.0,tokens,199.6496062992126,200.0,meta-llama3-8b-instruct,tensorrtllm,200,999,2,200,0,200
